"Hora","Dia","Data","Mandante","Visitante","Vencedor","Rodada","Arena","GolsMan","GolsVisit","EstadoMan","EstadoVisit","EstadoVenc"
"16h00","SABADO",36736,"FLUMINENSE","BAHIA","FLUMINENSE","1ª RODADA","MARACANA","2","0","RJ","BA","RJ"
"16h00","SABADO",36736,"VASCO","SPORT","SPORT","1ª RODADA","SAO JANUARIO","0","2","RJ","PE","PE"
"16h00","SABADO",36736,"VITORIA","PALMEIRAS","VITORIA","1ª RODADA","BARRADAO","4","1","ES","SP","ES"
"17h00","DOMINGO",36737,"BOTAFOGO-RJ","ATLETICO-MG","-","1ª RODADA","CAIO MARTINS","0","0","RJ","MG","EMPATE"
"18h30","DOMINGO",36737,"JUVENTUDE","FLAMENGO","-","1ª RODADA","ALFREDO JACONI","1","1","RS","RJ","EMPATE"
"16h00","DOMINGO",36737,"GUARANI","SANTA CRUZ","-","1ª RODADA","BRINCO DE OURO","0","0","SP","PE","EMPATE"
"17h00","DOMINGO",36737,"CRUZEIRO","ATHLETICO-PR","ATHLETICO-PR","1ª RODADA","MINEIRAO","0","2","MG","PR","PR"
"16h00","DOMINGO",36737,"AMERICA-MG","GAMA","GAMA","1ª RODADA","INDEPENDENCIA","0","1","MG","DF","DF"
"18h30","DOMINGO",36737,"GOIAS","CORINTHIANS","GOIAS","1ª RODADA","SERRA DOURADA","3","0","GO","SP","GO"
"20h30","QUARTA-FEIRA",36740,"CORITIBA","SPORT","-","2ª RODADA","COUTO PEREIRA","0","0","PR","PE","EMPATE"
